"nStates","C1Avg","C1Std","C1waAvg","C1waStd","C2Avg","C2Std","C2waAvg","C2waStd","C3Avg","C3Std","C3waAvg","C3waStd","C4Avg","C4Std","C4waAvg","C4waStd","C5Avg","C5Std","C5waAvg","C5waStd","C6Avg","C6Std","C6waAvg","C6waStd","D1Avg","D1Std","D1waAvg","D1waStd","D2Avg","D2Std","D2waAvg","D2waStd","D3Avg","D3Std","D3waAvg","D3waStd","D4Avg","D4Std","D4waAvg","D4waStd","D5Avg","D5Std","D5waAvg","D5waStd","D6Avg","D6Std","D6waAvg","D6waStd","DAAvg","DASAAvg","DASAStd","DAStd","TSAvg","TSSAAvg","TSSAStd","TSStd"
1,0.2648,0.0013,0.0498,4e-04,0.5776,0.0015,0.1165,0,0.5659,0.0017,0.1261,0.0014,0.2625,0.001,0.0488,5e-04,0.6602,0.0034,0.1523,0.001,0.6992,0.0023,0.1985,0,0.266,9e-04,0.0491,1e-04,0.5163,0.0013,0.1001,0,0.5183,0.0011,0.2344,0.0031,0.2917,0.001,0.1587,0.0021,0.5772,0.0022,0.2178,0.0032,0.6999,0.0021,0.3161,0.0041,0.7052,0.2756,0.003,0.0012,0.7813,0.2677,0.0023,0.0045
2,0.6454,0.0011,0.467,0.0013,0.375,9e-04,0.3066,0,0.3724,7e-04,0.2819,6e-04,0.631,6e-04,0.3837,0.002,0.2758,7e-04,0.3067,0.001,0.2758,5e-04,0.372,0,0.6321,4e-04,0.3964,0.0012,0.3812,6e-04,0.2749,0,0.4148,0.001,0.3836,9e-04,0.6328,0.0016,0.603,0.0016,0.3335,9e-04,0.3549,0.0013,0.2679,5e-04,0.3636,0.001,0.2948,0.6169,0.0021,9e-04,0.2187,0.592,0.0015,0.0022
3,0.0862,3e-04,0.338,5e-04,0.0457,4e-04,0.3288,0,0.0597,5e-04,0.3528,6e-04,0.102,3e-04,0.4098,5e-04,0.033,2e-04,0.2369,3e-04,0.0231,2e-04,0.2369,0,0.0973,3e-04,0.4062,4e-04,0.0957,4e-04,0.382,0,0.0643,3e-04,0.2566,4e-04,0.0721,3e-04,0.192,4e-04,0.0616,2e-04,0.2115,3e-04,0.0284,1e-04,0.187,3e-04,0,0.1042,7e-04,0,0,0.1369,0.0014,0
4,0.0036,1e-04,0.1191,3e-04,0.0017,1e-04,0.1611,0,0.002,1e-04,0.1651,3e-04,0.0041,1e-04,0.1303,2e-04,0.0048,2e-04,0.1758,3e-04,5e-04,1e-04,0.0853,0,0.0044,1e-04,0.1242,2e-04,0.0068,2e-04,0.1703,0,0.0026,1e-04,0.0905,2e-04,0.0032,1e-04,0.04,2e-04,0.0093,1e-04,0.1451,3e-04,9e-04,1e-04,0.0651,1e-04,0,0.003,2e-04,0,0,0.0033,2e-04,0
5,0,0,0.0215,1e-04,0,0,0.0623,0,0,0,0.0532,1e-04,3e-04,1e-04,0.0221,1e-04,4e-04,1e-04,0.0738,1e-04,1e-04,1e-04,0.0231,0,3e-04,1e-04,0.0197,1e-04,0,0,0.0521,0,0,0,0.0254,1e-04,2e-04,1e-04,0.0054,1e-04,3e-04,1e-04,0.0446,1e-04,1e-04,1e-04,0.0168,1e-04,0,2e-04,1e-04,1e-04,0,1e-04,1e-04,0
6,0,0,0.0039,1e-04,0,0,0.0166,0,0,0,0.0162,1e-04,0,0,0.0048,1e-04,4e-04,1e-04,0.0376,1e-04,0,0,0.0082,0,0,1e-04,0.004,1e-04,0,0,0.0141,0,0,0,0.0071,1e-04,0,0,8e-04,1e-04,4e-04,1e-04,0.0187,1e-04,1e-04,1e-04,0.0049,1e-04,0,0,0,0,0,0,0,0
7,0,0,5e-04,1e-04,0,0,0.0053,0,0,0,0.0038,1e-04,0,1e-04,5e-04,1e-04,5e-04,1e-04,0.0094,1e-04,0,0,0.0038,0,0,0,3e-04,1e-04,0,0,0.0046,0,0,0,0.002,1e-04,0,0,1e-04,1e-04,3e-04,1e-04,0.0038,1e-04,1e-04,1e-04,0.0025,1e-04,0,0,0,0,0,0,0,0
8,0,0,1e-04,1e-04,0,0,0.0023,0,0,0,8e-04,1e-04,0,0,0,0,4e-04,1e-04,0.0038,1e-04,0,1e-04,0.0025,0,0,0,1e-04,1e-04,0,0,0.0015,0,0,0,4e-04,1e-04,0,0,0,1e-04,1e-04,1e-04,0.0012,1e-04,0,1e-04,0.0016,1e-04,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,3e-04,0,0,0,1e-04,1e-04,0,0,0,0,3e-04,1e-04,0.0019,1e-04,0,0,0.0036,0,0,0,0,0,0,0,3e-04,0,0,0,0,0,0,0,0,0,3e-04,1e-04,5e-04,1e-04,1e-04,1e-04,0.002,1e-04,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0.0241,1e-04,0.0019,1e-04,0.0013,1e-04,0.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0171,1e-04,0.002,1e-04,0.0025,1e-04,0.0405,1e-04,0,0,0,0,0,0,0,0
