"State","Avg","Std"
"'0101'",0.454333063845254,0.00381367276876093
"'1010'",0.454169923975539,0.00405711209916375
"'1011'",0.0116506254746069,0.00113956605149753
"'0111'",0.0115884918478398,0.000928501992489021
"'0000'",0.0108793204523695,0.00063458640751474
"'1110'",0.0107729913676409,0.000461452089263301
"'1101'",0.0107668076218835,0.00101775155524033
"'1111'",0.00984541595881936,0.000727916822923885
"'0110'",0.00506516019668444,0.000479125205820307
"'1001'",0.00427226418235282,0.000657599368157542
"'0001'",0.00415496462173932,0.000610479681140988
"'0010'",0.00379124478462132,0.000772443780005199
"'1000'",0.00366789235208086,0.000356213805258467
"'0100'",0.00353360878419115,0.000268652439084801
"'0011'",0.000863771195525711,0.000199705287584095
"'1100'",0.000644453338851065,0.000122427562979985
