"Phase","C1_Avg","C1_Std","C10_Avg","C10_Std","C11_Avg","C11_Std","C12_Avg","C12_Std","C2_Avg","C2_Std","C3_Avg","C3_Std","C4_Avg","C4_Std","C5_Avg","C5_Std","C6_Avg","C6_Std","C7_Avg","C7_Std","C8_Avg","C8_Std","C9_Avg","C9_Std","D1_Avg","D1_Std","D10_Avg","D10_Std","D11_Avg","D11_Std","D12_Avg","D12_Std","D2_Avg","D2_Std","D3_Avg","D3_Std","D4_Avg","D4_Std","D5_Avg","D5_Std","D6_Avg","D6_Std","D7_Avg","D7_Std","D8_Avg","D8_Std","D9_Avg","D9_Std"
"'1001 0110 0010 0001'",0.000132504814979316,0.000151273165296756,0,0,0.000332179162924406,3.89176902405589e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014001400140014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1001 0110 0011 0001'",6.64327964791512e-05,5.75350345243488e-05,0,0,3.1287153494775e-05,5.41909394771565e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000399659585045358,0.000171347325576972,0.0011001100110011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1001 0110 0011 0010'",9.94688057292337e-05,9.91099977136224e-05,0,0,6.46238204948084e-05,5.60502432566304e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000333278357656463,5.65187665273709e-05,0.0001000100010001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1001 0110 0100 0001'",6.60720185001652e-05,0.000114440093000917,0,0,0,0,0.0001000100010001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1001 0110 0101 0001'",0.000133596474362152,5.88009034561079e-05,0,0,0.0010719835477472,0.00012176689285143,0,0,0,0,0,0,0,0,0,0,0,0,0.000366926378254907,5.94434830792625e-05,0.0138013801380138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1001 0110 0101 0100'",6.64327964791512e-05,5.75350345243488e-05,0,0,0.000933963181783667,3.18036022152737e-05,0.0009000900090009,0,0,0,0,0,0,0,0,0,0,0,0.000466498219338249,0.000113584950793044,0.0004000400040004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1001 0110 0101 0101'",0.000133226370937288,0.000153162626969346,0,0,0.000564060989372268,8.23992257752215e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000332820950752466,0.000229183057532542,0.0009000900090009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1001 0110 0110 0001'",9.94688057292337e-05,9.91099977136224e-05,0,0,0.000476635404880161,0.000251087927698974,0,0,0,0,0,0,0,0,0,0,0,0,0.000133219861681786,5.7115775192324e-05,0.006000600060006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1001 0110 0110 0010'",3.30360092500826e-05,5.72200465004584e-05,0,0,0,0,0.0001000100010001,0,0,0,0,0,0,0,0,0,0,0,3.2866627226714e-05,5.69266682300952e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1001 0110 0110 0100'",3.30360092500826e-05,5.72200465004584e-05,0,0,6.46238204948084e-05,5.60502432566304e-05,0.0002000200020002,0,0,0,0,0,0,0,0,0,0,0,0.00016686788228023,5.83743492630575e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1001 0110 0110 0101'",6.64327964791512e-05,5.75350345243488e-05,0,0,0.00109039894925754,0.000276786675903671,0.0003000300030003,0,0,0,0,0,0,0,0,0,3.29543582138738e-05,5.70786227572542e-05,0.00356557527932976,0.000794214712379161,0.0037003700370037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1001 0111 0110 0011'",3.30360092500826e-05,5.72200465004584e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029695164535417,0.000762895814419195,0.0022002200220022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1001 0111 0110 0101'",3.30360092500826e-05,5.72200465004584e-05,0,0,0.000501486682382718,3.29212381897278e-05,0.0002000200020002,0,0,0,0,0,0,0,0,0,0,0,0.00290084819163282,4.94372275015791e-05,0.0067006700670067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1001 0111 0111 0110'",3.30360092500826e-05,5.72200465004584e-05,0,0,0.000131584489971319,4.87435074471361e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000399202178141361,0.00034415070058709,0.0008000800080008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1001 1000 0110 0010'",0.000166447431899803,5.69098205951546e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001000100010001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1001 1000 0110 0100'",9.94688057292337e-05,9.91099977136224e-05,0,0,0.000407625221898393,0.000191245758171471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005000500050005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1001 1000 0110 0110'",6.64327964791512e-05,5.75350345243488e-05,0,0,0.000300892009429631,1.97527429138367e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000233249109669125,5.67924753965219e-05,0.0049004900490049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1001 1001 0110 0001'",3.30360092500826e-05,5.72200465004584e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007000700070007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1001 1001 0110 0011'",6.64327964791512e-05,5.75350345243488e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00480414834481624,0.00105996008314209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1001 1001 0110 0100'",0.00013214403700033,0.000228880186001834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000300545150866013,0.000174174310846844,0.0001000100010001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1001 1001 0110 0101'",9.94688057292337e-05,9.91099977136224e-05,0,0,0.000238317702440081,0.000125543963849487,0,0,0,0,0,0,0,0,0,0,0,0,0.00463407861420803,0.000224865316758091,0.0037003700370037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1001 1001 0110 0110'",6.60720185001652e-05,0.000114440093000917,0,0,3.1287153494775e-05,5.41909394771565e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.010836806803231,0.000240157625716656,0.0009000900090009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1001 1001 0111 0110'",6.64327964791512e-05,5.75350345243488e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00163365858149187,5.76202863708989e-05,0.0006000600060006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1001 0110 0010'",0.000133050644670734,5.64355838612953e-05,0,0,0.00073336850883058,2.88505877144517e-05,0.0001000100010001,0,0,0,0,0,0,0,0,0,0,0,0.000400116991949355,6.81892793125228e-06,0.0004000400040004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1001 0110 0101'",3.30360092500826e-05,5.72200465004584e-05,0.000369296230905765,0.000234864863525997,0.058613151984721,0.0055644526717622,0.0004000400040004,0,0.00123443161675931,0.000475307710343901,0.00150041551134766,0.000203248109542294,0.000133075509909175,0.000115248942306914,0.00311448303964249,0.00102093837086622,6.63544918144082e-05,5.74685657405491e-05,0.00126810442394895,0.000409113381714819,0.0114011401140114,0,0.0084621470928138,0.00153356661425844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1001 0110 0110'",3.30360092500826e-05,5.72200465004584e-05,0,0,0.00141059858666383,0.00025172966653517,0.0006000600060006,0,0,0,0,0,0,0,0,0,3.29543582138738e-05,5.70786227572542e-05,0.00403527534699599,0.000311948811236167,0.0053005300530053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1001 1000 0110'",0.000199844219128871,9.99227332388487e-05,0,0,0.000896240152296674,0.000121270492268463,0,0,0,0,0,0,0,0,3.16315556399064e-05,5.47874614907597e-05,0,0,0.000800691390802706,0.000176660013857015,0.0134013401340134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1001 1001 0110'",0.000132865592958302,0.000115070069048698,0,0,0.000100297336476544,6.58424763794557e-06,0,0,0,0,0,0,0,0,0,0,0,0,0.00439991469073091,0.000505739078536241,0.0037003700370037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1010 1001 0110'",3.30360092500826e-05,5.72200465004584e-05,0,0,0.000978122087262879,0.000280734231578712,0.0002000200020002,0,0,0,0,0,0,0,0,0,0,0,0.000799776576994712,0.000170087072574747,0.0005000500050005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1011 1001 0110 0010'",6.64327964791512e-05,5.75350345243488e-05,0,0,0,0,0.0007000700070007,0,0,0,0,0,0,0,0,0,0,0,6.5733254453428e-05,0.00011385333646019,0.0001000100010001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1011 1001 0110 0011'",3.30360092500826e-05,5.72200465004584e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00236705393109768,0.000112524094534925,0.0001000100010001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1011 1001 0110 0110'",3.30360092500826e-05,5.72200465004584e-05,0,0,3.1287153494775e-05,5.41909394771565e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.00123354158954251,5.63630405918985e-05,0.0008000800080008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1011 1001 0111 0110'",3.30360092500826e-05,5.72200465004584e-05,0,0,0.000100297336476544,6.58424763794557e-06,0.0001000100010001,0,0,0,0,0,0,0,0,0,0,0,0.00133448565133784,0.000294433356428359,0.0006000600060006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1011 1010 1001 0110'",3.30360092500826e-05,5.72200465004584e-05,0,0,0.000357030440426962,0.000259902000958046,0.0007000700070007,0,0,0,0,0,0,0,0,0,0,0,0.00243206293777459,0.000740162496116796,0.0022002200220022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1100 1001 0110 0011'",6.64327964791512e-05,5.75350345243488e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000968474086890931,0.000580428302366366,0.0001000100010001,0,0,0,0.00010001299469916,6.70169124715864e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.84251968503937e-05,0.00017047744168985,0,0,0,0
"'1100 1001 0110 0110'",6.64327964791512e-05,5.75350345243488e-05,0,0,3.1287153494775e-05,5.41909394771565e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.00420214322927622,0.000369627771344656,0.0001000100010001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1100 1001 1001 0110'",0.000166993261591221,5.87929581451651e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00453450677312469,8.44997480294441e-05,0.0001000100010001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1100 1100 1001 0110'",9.94688057292337e-05,9.91099977136224e-05,0,0,0,0,0.0001000100010001,0,0,0,0,0,0,0,0,0,0,0,0.000633823508522476,0.000118319184244439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1101 1001 0110 0011'",3.30360092500826e-05,5.72200465004584e-05,0,0,0,0,0.0001000100010001,0,0,0,0,0,0,0,0,0,0,0,0.000667471529120921,0.00023349739705223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1101 1001 0110 0100'",6.64327964791512e-05,5.75350345243488e-05,0,0,6.46238204948084e-05,5.60502432566304e-05,0.0011001100110011,0,0,0,0,0,0,0,0,0,0,0,0.000100029247987339,1.70473198281307e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1101 1001 0110 0101'",9.98295837082197e-05,0.000100192310369925,0,0,0.000915547780273329,0.00038837435941523,0.0017001700170017,0,0,0,0,0,0,0,0,0,0,0,0.00290267781924881,0.000705052472103182,0.0016001600160016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
