"Phase","C1_Avg","C1_Std","C10_Avg","C10_Std","C11_Avg","C11_Std","C12_Avg","C12_Std","C2_Avg","C2_Std","C3_Avg","C3_Std","C4_Avg","C4_Std","C5_Avg","C5_Std","C6_Avg","C6_Std","C7_Avg","C7_Std","C8_Avg","C8_Std","C9_Avg","C9_Std","D1_Avg","D1_Std","D10_Avg","D10_Std","D11_Avg","D11_Std","D12_Avg","D12_Std","D2_Avg","D2_Std","D3_Avg","D3_Std","D4_Avg","D4_Std","D5_Avg","D5_Std","D6_Avg","D6_Std","D7_Avg","D7_Std","D8_Avg","D8_Std","D9_Avg","D9_Std"
"'0110 0010 0001'",6.64327964791512e-05,5.75350345243488e-05,0,0,0.000501486682382718,3.29212381897278e-05,0,0,0,0,0,0,0,0,3.16315556399064e-05,5.47874614907597e-05,3.29543582138738e-05,5.70786227572542e-05,0,0,0.0002000200020002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'0110 0011 0010'",3.30360092500826e-05,5.72200465004584e-05,0,0,6.46238204948084e-05,5.60502432566304e-05,0.0002000200020002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31147758129677e-05,5.73564741893131e-05,0,0,3.11497367847242e-05,5.39529267535395e-05,3.021787084882e-05,5.23388876067107e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.0003000300030003,0,0,0
"'0110 0011 0011'",3.30360092500826e-05,5.72200465004584e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.56167979002625e-05,0.000113651627793233,0,0,0,0
"'0110 0100 0001'",3.30360092500826e-05,5.72200465004584e-05,0,0,0.000100297336476544,6.58424763794557e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'0110 0101 0001'",3.30360092500826e-05,5.72200465004584e-05,0,0,0.000457327776903506,0.0002544511899877,0,0,6.65405325420994e-05,5.76261713117415e-05,0,0,0,0,0,0,0,0,0,0,0.0051005100510051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'0110 0101 0100'",3.30360092500826e-05,5.72200465004584e-05,3.27182305980893e-05,5.66696377296452e-05,0.00316535586177018,0.000147720767932576,0.0016001600160016,0,0,0,0,0,0.000100011678767937,5.01180524234157e-07,0,0,0,0,6.60572409211612e-05,5.72093129206917e-05,0.0002000200020002,0,0.00143633219977459,0.000152644131130828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'0110 0110 0001'",3.30360092500826e-05,5.72200465004584e-05,0,0,0.000639507048346255,0.000149425651406838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025002500250025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'0111 0110 0001'",3.30360092500826e-05,5.72200465004584e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'0111 0110 0011'",3.30360092500826e-05,5.72200465004584e-05,0,0,3.1287153494775e-05,5.41909394771565e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000133219861681786,5.7115775192324e-05,0.0005000500050005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28083989501312e-05,5.68258138966167e-05,0,0,0,0
"'0111 0110 0101'",3.30360092500826e-05,5.72200465004584e-05,0,0,0.000814358217330468,0.000514339930453924,0.0004000400040004,0,0,0,0,0,6.65377549545874e-05,5.76244711534572e-05,0,0,0,0,0.000200058495974677,3.40946396562614e-06,0.0015001500150015,0,0.000100070474591229,3.01378782093846e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
