"Phase","C1_Avg","C1_Std","C10_Avg","C10_Std","C11_Avg","C11_Std","C12_Avg","C12_Std","C2_Avg","C2_Std","C3_Avg","C3_Std","C4_Avg","C4_Std","C5_Avg","C5_Std","C6_Avg","C6_Std","C7_Avg","C7_Std","C8_Avg","C8_Std","C9_Avg","C9_Std","D1_Avg","D1_Std","D10_Avg","D10_Std","D11_Avg","D11_Std","D12_Avg","D12_Std","D2_Avg","D2_Std","D3_Avg","D3_Std","D4_Avg","D4_Std","D5_Avg","D5_Std","D6_Avg","D6_Std","D7_Avg","D7_Std","D8_Avg","D8_Std","D9_Avg","D9_Std"
"'1010 1010 0111 0101 0101 0010 0000'",0,0,6.60548975981226e-05,5.72127404131821e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1010 0111 0110 0101 0100 0000'",0,0,6.60548975981226e-05,5.72127404131821e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1101 1010 1001 0101 0101 0101 0101'",0,0,6.60548975981226e-05,5.72127404131821e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1101 1010 1010 1001 0101 0001 0000'",0,0,3.27182305980893e-05,5.66696377296452e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1101 1010 1010 1010 1010 1001 0101'",0,0,0.000100033830659624,1.89116629816833e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1111 1010 1010 1010 0101 0101 0000'",0,0,6.60548975981226e-05,5.72127404131821e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1111 1110 1101 1010 1010 0101 0101'",0,0,6.60548975981226e-05,5.72127404131821e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1111 1111 1111 1011 1010 0101 0001'",0,0,3.27182305980893e-05,5.66696377296452e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'0110 0110 0110 0110 0110 0101 0101'",0,0,0,0,6.46238204948084e-05,5.60502432566304e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1001 0110 0110 0101 0101 0101 0101'",0,0,0,0,6.46238204948084e-05,5.60502432566304e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1001 0111 0110 0110 0110 0101 0101'",0,0,0,0,6.46238204948084e-05,5.60502432566304e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1001 1000 0101 0100 0010 0001 0000'",0,0,0,0,0.000100297336476544,6.58424763794557e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1001 1000 0101 0101 0100 0010 0000'",0,0,0,0,6.46238204948084e-05,5.60502432566304e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1001 1000 0110 0101 0100 0010 0001'",0,0,0,0,3.1287153494775e-05,5.41909394771565e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1001 1000 0110 0101 0101 0100 0100'",0,0,0,0,6.46238204948084e-05,5.60502432566304e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1001 1000 0110 0101 0101 0101 0100'",0,0,0,0,3.1287153494775e-05,5.41909394771565e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1001 1000 0110 0110 0101 0010 0001'",0,0,0,0,6.25743069895501e-05,0.000108381878954313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001000100010001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1001 1000 0110 0110 0101 0010 0010'",0,0,0,0,0.000129247640989617,0.000112100486513261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1001 1000 0110 0110 0101 0100 0100'",0,0,0,0,0.000100297336476544,6.58424763794557e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1001 1000 0110 0110 0110 0101 0101'",0,0,0,0,3.1287153494775e-05,5.41909394771565e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 0110 0101 0100 0010 0001 0000'",0,0,0,0,6.46238204948084e-05,5.60502432566304e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 0110 0110 0101 0010 0010 0001'",0,0,0,0,3.1287153494775e-05,5.41909394771565e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 0110 0110 0101 0101 0100 0100'",0,0,0,0,0.000129247640989617,0.000112100486513261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.56991265469589e-05,5.69158752207044e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 0111 0110 0110 0101 0011 0001'",0,0,0,0,6.46238204948084e-05,5.60502432566304e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 0111 0110 0110 0110 0110 0101'",0,0,0,0,6.46238204948084e-05,5.60502432566304e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1001 0101 0100 0010 0001 0000'",0,0,0,0,6.46238204948084e-05,5.60502432566304e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1001 0101 0101 0010 0001 0001'",0,0,0,0,6.46238204948084e-05,5.60502432566304e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1001 0101 0101 0100 0010 0000'",0,0,0,0,6.46238204948084e-05,5.60502432566304e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1001 0110 0101 0010 0001 0000'",0,0,0,0,0.000100297336476544,6.58424763794557e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1001 0110 0101 0010 0001 0001'",0,0,0,0,6.46238204948084e-05,5.60502432566304e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1001 0110 0101 0010 0010 0001'",0,0,0,0,6.46238204948084e-05,5.60502432566304e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1001 0110 0101 0011 0010 0001'",0,0,0,0,9.38614604843251e-05,0.00016257281843147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1001 0110 0101 0100 0010 0000'",0,0,0,0,3.1287153494775e-05,5.41909394771565e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000232503408729384,5.09811347438543e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1001 0110 0101 0100 0010 0001'",0,0,0,0,0.000162871643466094,0.000102867986090785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1001 0110 0101 0101 0011 0010'",0,0,0,0,6.46238204948084e-05,5.60502432566304e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1001 0110 0101 0101 0100 0000'",0,0,0,0,3.1287153494775e-05,5.41909394771565e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1001 0110 0101 0101 0100 0100'",0,0,0,0,3.1287153494775e-05,5.41909394771565e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.56991265469589e-05,5.69158752207044e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1001 0110 0110 0100 0100 0001'",0,0,0,0,6.46238204948084e-05,5.60502432566304e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1001 0110 0110 0101 0010 0010'",0,0,0,0,6.46238204948084e-05,5.60502432566304e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1001 0110 0110 0101 0011 0001'",0,0,0,0,6.46238204948084e-05,5.60502432566304e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1001 0110 0110 0101 0100 0001'",0,0,0,0,0.000100297336476544,6.58424763794557e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1001 0110 0110 0101 0100 0100'",0,0,0,0,0.000193871461484425,0.000168150729769891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23624595469256e-05,5.60534241931676e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1001 0110 0110 0101 0101 0010'",0,0,0,0,3.1287153494775e-05,5.41909394771565e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1001 0110 0110 0101 0101 0100'",0,0,0,0,0.000100297336476544,6.58424763794557e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1001 0110 0110 0110 0101 0001'",0,0,0,0,3.1287153494775e-05,5.41909394771565e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1001 0110 0110 0110 0101 0101'",0,0,0,0,3.1287153494775e-05,5.41909394771565e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1001 0110 0110 0110 0110 0101'",0,0,0,0,3.1287153494775e-05,5.41909394771565e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1001 0111 0110 0011 0011 0010'",0,0,0,0,3.1287153494775e-05,5.41909394771565e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1001 0111 0110 0101 0010 0001'",0,0,0,0,0.000100297336476544,6.58424763794557e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1001 0111 0110 0110 0101 0101'",0,0,0,0,6.46238204948084e-05,5.60502432566304e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1001 0111 0111 0101 0101 0010'",0,0,0,0,3.1287153494775e-05,5.41909394771565e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'1010 1001 1000 0100 0010 0001 0000'",0,0,0,0,6.46238204948084e-05,5.60502432566304e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
