"Phase","C1_Avg","C1_Std","C10_Avg","C10_Std","C11_Avg","C11_Std","C12_Avg","C12_Std","C2_Avg","C2_Std","C3_Avg","C3_Std","C4_Avg","C4_Std","C5_Avg","C5_Std","C6_Avg","C6_Std","C7_Avg","C7_Std","C8_Avg","C8_Std","C9_Avg","C9_Std","D1_Avg","D1_Std","D10_Avg","D10_Std","D11_Avg","D11_Std","D12_Avg","D12_Std","D2_Avg","D2_Std","D3_Avg","D3_Std","D4_Avg","D4_Std","D5_Avg","D5_Std","D6_Avg","D6_Std","D7_Avg","D7_Std","D8_Avg","D8_Std","D9_Avg","D9_Std"
"'0011 0010'",3.30360092500826e-05,5.72200465004584e-05,0,0,0.000100297336476544,6.58424763794557e-06,0.0006000600060006,0,6.65405325420994e-05,5.76261713117415e-05,0,0,0,0,6.32631112798127e-05,0.000109574922981519,0.000234144458066174,0.00011716309682374,0,0,0,0,0,0,0.00126593571824361,0.000224426175411917,3.2782585890375e-05,5.67811043656202e-05,0.00816144474173229,0.000141936896621941,0.00225943250442995,0.000913429388956399,0.00349929925804953,0.000444544136454025,0.000400050010953789,2.4516160144507e-06,3.29935002804448e-05,5.71464188052683e-05,0.00349671137738558,0.000698409949611641,0.000999636542252167,0.000261065756260791,0.00153321776897105,3.80484572564089e-05,0.0059005900590059,0,0.00069993141350628,9.69353101864325e-05
"'0100 0001'",3.30360092500826e-05,5.72200465004584e-05,0,0,0.000169307519458312,6.57132302470306e-05,0.0002000200020002,0,3.32005312084993e-05,5.7505006891397e-05,0,0,0,0,0.00010015408524478,4.59511607927285e-06,0.000298635424887871,0.000196670205417038,0,0,0,0,0,0,0,0,0,0,3.11497367847242e-05,5.39529267535395e-05,3.021787084882e-05,5.23388876067107e-05,0,0,0,0,0,0,3.21409057307235e-05,5.56696817268948e-05,0.000132473335208926,0.000114735213553808,0,0,0,0,0,0
"'0101 0101'",3.30360092500826e-05,5.72200465004584e-05,0.00203151570492522,0.000196612225042103,0.00302089961981443,0.000402700678879482,0.0014001400140014,0,0,0,0.000266898292024759,0.000153006090602158,0.000666843576881125,0.000116463402255615,0.000169081573527107,0.000122243594053836,0.000267807691083073,0.000155168974403193,0,0,0.0001000100010001,0,0.00487705698732421,0.000530072338368907,0,0,0,0,0,0,3.021787084882e-05,5.23388876067107e-05,0,0,0,0,3.29935002804448e-05,5.71464188052683e-05,3.21409057307235e-05,5.56696817268948e-05,0,0,0,0,0,0,3.20297235834855e-05,5.54771085989839e-05
"'0110 0001'",0.00236276355160178,0.000790210062967228,0,0,0.00103426051826021,3.50867840638007e-05,0,0,0.00513103043591287,0.00125412416043686,0,0,0,0,0.00103600459658897,9.49825485145178e-05,0.000534197632560095,0.00012018031329749,0.000233249109669125,5.67924753965219e-05,0.0085008500850085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5733254453428e-05,0.00011385333646019,0,0,0,0,0,0
"'0110 0010'",0.000667427216673464,0.000156452881239896,0,0,0.000902676028288892,5.92582287415101e-05,0.0077007700770077,0,6.65405325420994e-05,5.76261713117415e-05,3.32303193433689e-05,5.75566014544538e-05,0,0,3.16315556399064e-05,5.47874614907597e-05,0.0017385613268297,0.000857743766199141,0,0,0,0,0.000132432934138155,5.34925070897361e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21409057307235e-05,5.56696817268948e-05,0.000166259401835049,5.62263757926112e-05,0,0,0.0001000100010001,0,0,0
"'0110 0011'",0.0025983822538837,0.00033791832692547,0,0,3.1287153494775e-05,5.41909394771565e-05,0.0002000200020002,0,0.000267233347076489,0.000209473355896251,0,0,0,0,9.73218967435231e-05,9.49877473343648e-05,0.000299607399107261,9.75691927670434e-05,0.00186827991187298,0.000412206698999702,0.0011001100110011,0,0,0,0.00156664636330041,4.91130785062111e-05,0,0,0.000131426372887968,4.80854263391149e-05,0,0,0.000432691561368309,0.000228420594454027,0,0,0,0,0.000128563622922894,0.000222678726907579,0.000599807766037803,0.000264481613373582,0.000496932267704971,0.000336801467467945,0.001000100010001,0,0,0
"'0110 0100'",0.000601188797352623,0.000365092462347159,3.27182305980893e-05,5.66696377296452e-05,0.000739804384822798,0.00015552000351394,0.0078007800780078,0,3.32005312084993e-05,5.7505006891397e-05,0,0,0,0,6.56903411036167e-05,5.70058894862773e-05,0.00246961538697788,0.000377041565233493,0,0,0.0001000100010001,0,9.70873786407767e-05,0.000168160272579503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000166675428083424,5.77131994114964e-05,0,0,0.0002000200020002,0,0,0
"'0110 0101'",0.00206871444649954,0.000461310017072406,0.000636679492286549,0.000296467442554572,0.0199085751773607,0.000951929695967212,0.0068006800680068,0,0.0246306064258059,0.00221803887591144,0.00613283468848029,0.000532391683047672,0.00196684682322198,5.60969422236195e-05,0.0202769927632813,0.000437039460745731,0.00260108929697094,0.000274626933045176,0.00140040947182274,2.38662477593831e-05,0.0198019801980198,0,0.00532461682498831,0.00133537893684644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2866627226714e-05,5.69266682300952e-05,0,0,0,0,0,0
"'0110 0110'",0.000635307140539664,0.000356296187702663,0,0,0.000802378691812348,5.26739811035645e-05,0.002000200020002,0,6.65405325420994e-05,5.76261713117415e-05,3.32303193433689e-05,5.75566014544538e-05,0,0,0.000131785640884687,5.02363441965608e-05,0.000499642848769875,9.62981048732857e-05,0.0017336878294792,5.80556131765538e-05,0.0029002900290029,0,3.23624595469256e-05,5.60534241931676e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2866627226714e-05,5.69266682300952e-05,0,0,0,0,0,0
"'0111 0011'",6.60720185001652e-05,0.000114440093000917,0,0,6.25743069895501e-05,0.000108381878954313,0.0002000200020002,0,3.32005312084993e-05,5.7505006891397e-05,3.32303193433689e-05,5.75566014544538e-05,3.31510028178352e-05,5.74192212023497e-05,0,0,0.00030057937332665,0.000202403547300421,0,0,0.0002000200020002,0,0,0,0.00106725305076392,0.000122122745194426,0,0,0.000166684817285401,5.76925875625012e-05,0.00271859735472193,0.000837803749706649,0.000133048434568966,0.000115224821910397,3.31444101952206e-05,5.74078024450259e-05,0,0,0.000334381790260145,6.56602137548696e-05,0.00393368678358184,0.00075659594169912,0.000634574241442832,0.00012349673528327,0.0008000800080008,0,0.000167399681568553,0.000117355441139784
