"State","Avg","Std"
"'1010'",0.250899999999989,0.00335360502544116
"'0101'",0.250799999999989,0.00212289111041185
"'1011'",0.0637000000000008,0.00212289111041215
"'0010'",0.0634666666666675,0.00103387082795142
"'1111'",0.0631000000000008,0.00297097066068771
"'1001'",0.0622000000000008,0.000637704215656985
"'1101'",0.0621666666666674,0.00232139804619742
"'0000'",0.0621333333333341,0.00350460015154695
"'0100'",0.0613000000000007,0.000648074069840805
"'0110'",0.060233333333334,0.00189267594221051
"'0001'",0,0
"'0011'",0,0
"'0111'",0,0
"'1000'",0,0
"'1100'",0,0
"'1110'",0,0
