"State","Avg","Std"
"'1001'",0.189499999999995,0.00147196014438781
"'1010'",0.186299999999996,0.00332565782966281
"'0110'",0.186233333333329,0.00256947897874662
"'0101'",0.185999999999996,0.00134412301024358
"'1110'",0.0639666666666675,0.00124988888395021
"'0111'",0.0632333333333341,0.000873053390247278
"'1000'",0.0630000000000008,0.00237627158941628
"'0001'",0.0617666666666674,0.00249443825784937
"'0000'",0,0
"'0010'",0,0
"'0011'",0,0
"'0100'",0,0
"'1011'",0,0
"'1100'",0,0
"'1101'",0,0
"'1111'",0,0
