"State","Avg","Std"
"'1001'",0.190599999999995,0.000637704215656896
"'0110'",0.187599999999996,0.00331762967593796
"'0101'",0.187333333333329,0.00469065264352599
"'1010'",0.186466666666662,0.00106562449087627
"'1110'",0.0626333333333341,0.000771722460186037
"'0111'",0.0620666666666674,0.00276204433144896
"'0001'",0.0616666666666674,0.00319409176797142
"'1000'",0.0616333333333341,0.00138162545173755
"'0000'",0,0
"'0010'",0,0
"'0011'",0,0
"'0100'",0,0
"'1011'",0,0
"'1100'",0,0
"'1101'",0,0
"'1111'",0,0
