"State","Avg","Std"
"'0000'",0.262666666666667,0.00377123616632826
"'0001'",0.06,0.00294392028877595
"'0010'",0,0
"'0011'",0.0566666666666667,0.00987702159335274
"'0100'",0,0
"'0101'",0.0643333333333333,0.00873053390247248
"'0110'",0,0
"'0111'",0.0623333333333333,0.00464279609239471
"'1000'",0.054,0.0100332779621949
"'1001'",0,0
"'1010'",0.0643333333333333,0.00679869268479038
"'1011'",0,0
"'1100'",0.0616666666666667,0.0089566858950296
"'1101'",0,0
"'1110'",0.062,0.000816496580927727
"'1111'",0.252,0.0139283882771841
