"State","Avg","Std"
"'1001'",0.249833333333322,0.00193448241713937
"'0110'",0.247399999999989,0.00228619042659738
"'1010'",0.0663666666666675,0.00159652400197712
"'0101'",0.0650333333333342,0.000654896090146302
"'1000'",0.0632000000000008,0.00162685791225504
"'0011'",0.0629333333333341,0.000498887651569873
"'1100'",0.0624666666666674,0.00323144274623934
"'0001'",0.0614000000000007,0.00254558441227164
"'0111'",0.0610000000000007,0.0010708252269473
"'1110'",0.0603666666666674,0.00352357142052723
"'0000'",0,0
"'0010'",0,0
"'0100'",0,0
"'1011'",0,0
"'1101'",0,0
"'1111'",0,0
